date,points,min_dry,max_dry,min_dew,max_dew,precip,avg_rh,avg_pres,avg_wind_spd,avg_wind_gust
20020101,52,23.0,39.0,16.0,31.0,1,88.65384615384616,859.3808615384615,3.4423076923076925,21.0
20020102,29,17.0,35.0,12.0,21.0,0,72.24137931034483,861.8009172413792,5.137931034482759,21.0
20020103,29,19.0,33.0,10.0,22.0,0,66.27586206896552,859.231925862069,4.620689655172414,21.0
20020104,44,21.0,33.0,20.0,28.0,1,93.02272727272727,859.927273863636,4.909090909090909,21.0
20020105,38,17.0,31.0,15.0,25.0,0,89.1842105263158,865.427268421053,3.0526315789473686,21.0
20020106,29,23.0,39.0,21.0,28.0,0,79.10344827586206,866.5184999999999,2.3448275862068964,21.0
20020107,29,30.0,46.0,26.0,30.0,0,75.6896551724138,866.5768896551723,3.413793103448276,21.0
20020108,29,27.0,47.0,25.0,31.0,0,78.79310344827586,861.0535603448276,3.689655172413793,21.0
20020109,29,29.0,41.0,27.0,32.0,0,84.51724137931035,855.6470420689654,3.103448275862069,21.0
20020110,29,28.0,48.0,15.0,31.0,0,60.48275862068966,861.894335172414,6.103448275862069,25.551724137931036
20020111,29,20.0,45.0,17.0,21.0,0,59.41379310344828,865.9463072413789,5.275862068965517,32.0
20020112,29,22.0,42.0,18.0,25.0,0,68.86206896551724,859.2669437931033,3.5172413793103448,32.0
20020113,31,19.0,43.0,10.0,21.0,0,58.12903225806452,855.2161070967746,6.483870967741935,32.0
20020114,29,17.0,39.0,8.0,12.0,0,54.03448275862069,852.5175675862071,7.275862068965517,32.0
20020115,29,16.0,41.0,10.0,19.0,0,58.0,849.6683120689655,3.7586206896551726,32.0
20020116,47,16.0,34.0,8.0,25.0,1,78.7872340425532,854.5732234042554,3.106382978723404,32.0
20020117,45,10.0,32.0,9.0,25.0,0,87.24444444444444,855.9361119999999,1.4666666666666666,32.0
20020118,34,12.0,29.0,5.0,23.0,0,81.47058823529412,855.3221232352942,6.205882352941177,25.41176470588235
20020119,29,8.0,31.0,3.0,14.0,0,64.27586206896552,854.5610351724142,8.10344827586207,16.0
20020120,29,17.0,35.0,6.0,12.0,0,52.793103448275865,853.6268599999995,5.448275862068965,16.0
20020121,29,17.0,42.0,9.0,13.0,0,48.758620689655174,852.6459855172413,5.137931034482759,16.0
20020122,37,17.0,46.0,12.0,27.0,0,75.8108108108108,846.560574594594,6.675675675675675,17.08108108108108
20020123,29,9.0,31.0,0.0,23.0,0,65.34482758620689,856.7096455172409,6.172413793103448,18.0
20020124,29,7.0,32.0,1.0,7.0,0,54.06896551724138,866.366679310345,6.068965517241379,18.0
20020125,29,9.0,37.0,5.0,13.0,0,58.758620689655174,862.4198006896551,4.103448275862069,18.0
20020126,29,14.0,41.0,9.0,18.0,0,63.37931034482759,854.4209258620683,3.3448275862068964,18.0
20020127,29,18.0,46.0,14.0,21.0,0,60.51724137931034,849.0377210344824,4.758620689655173,18.0
20020128,29,31.0,50.0,12.0,24.0,0,38.48275862068966,845.7330686206896,8.96551724137931,18.0
20020129,58,26.0,34.0,22.0,27.0,0,85.43103448275862,848.8859231034472,4.103448275862069,18.0
20020130,39,15.0,28.0,-3.0,25.0,0,76.8974358974359,851.3728776923075,4.3076923076923075,18.0
20020131,29,6.0,26.0,-4.0,9.0,0,54.96551724137931,861.4039103448272,7.0344827586206895,18.0
20020201,29,7.0,30.0,0.0,14.0,0,63.41379310344828,863.7276482758617,5.344827586206897,18.0
20020202,28,12.0,37.0,9.0,18.0,0,65.71428571428571,859.8041235714288,5.214285714285714,18.0
20020203,29,16.0,40.0,10.0,16.0,0,61.41379310344828,863.7743582758618,6.310344827586207,18.0
20020204,29,14.0,42.0,0.0,15.0,0,52.3448275862069,862.3380751724135,6.620689655172414,18.0
20020205,29,16.0,39.0,3.0,9.0,0,42.758620689655174,862.1512351724135,4.689655172413793,18.0
20020206,29,13.0,42.0,5.0,10.0,0,46.724137931034484,861.5323455172413,8.586206896551724,18.0
20020207,28,13.0,43.0,5.0,11.0,0,45.214285714285715,859.9008517857139,6.892857142857143,23.892857142857142
20020208,31,18.0,41.0,-6.0,25.0,0,44.225806451612904,855.5766164516127,11.741935483870968,28.677419354838708
20020209,29,15.0,39.0,4.0,11.0,0,44.41379310344828,868.3518282758619,7.344827586206897,27.482758620689655
20020210,29,17.0,39.0,2.0,9.0,0,44.48275862068966,874.0386079310344,6.862068965517241,36.0
20020211,29,12.0,45.0,5.0,9.0,0,45.06896551724138,864.8720348275858,5.068965517241379,36.0
20020212,29,16.0,47.0,8.0,14.0,0,45.06896551724138,859.8391413793103,5.379310344827586,36.0
20020213,29,17.0,45.0,2.0,9.0,0,34.6551724137931,859.8274879310342,6.0344827586206895,36.0
20020214,51,18.0,46.0,6.0,32.0,1,73.05882352941177,858.0046847058827,6.882352941176471,28.098039215686274
20020215,29,12.0,43.0,9.0,23.0,0,67.6896551724138,864.7085379310341,5.379310344827586,23.0
20020216,29,19.0,46.0,14.0,18.0,0,55.06896551724138,860.8667689655174,6.689655172413793,23.0
20020217,29,30.0,47.0,16.0,27.0,0,43.58620689655172,848.5005872413797,7.551724137931035,23.0
20020218,38,28.0,47.0,27.0,36.0,1,84.28947368421052,846.3743994736836,7.526315789473684,23.0
20020219,48,28.0,46.0,24.0,32.0,1,84.77083333333333,854.138968541666,3.3958333333333335,23.0
20020220,30,29.0,45.0,24.0,32.0,1,70.0,857.9641999999999,5.666666666666667,23.0
20020221,28,24.0,47.0,13.0,29.0,0,61.82142857142857,868.8264071428574,4.892857142857143,23.0
20020222,29,27.0,52.0,13.0,21.0,0,48.89655172413793,864.5333762068965,5.551724137931035,23.0
20020223,29,26.0,48.0,20.0,24.0,0,55.37931034482759,850.4039672413797,5.275862068965517,23.0
20020224,31,26.0,50.0,17.0,31.0,0,52.96774193548387,852.4196341935486,7.290322580645161,25.903225806451612
20020225,32,21.0,40.0,-9.0,18.0,0,29.96875,861.0634109375001,14.125,29.59375
20020226,28,16.0,33.0,-13.0,-2.0,0,25.928571428571427,865.5246732142856,7.857142857142857,24.071428571428573
20020227,29,12.0,43.0,-6.0,6.0,0,31.551724137931036,856.3009472413787,4.586206896551724,25.0
20020228,29,21.0,50.0,4.0,18.0,0,35.06896551724138,844.8572837931034,6.586206896551724,25.0
20020301,66,16.0,35.0,3.0,27.0,1,79.89393939393939,847.5156039393943,8.318181818181818,21.606060606060606
20020302,29,7.0,28.0,-1.0,5.0,0,48.06896551724138,859.0918127586206,4.896551724137931,17.0
20020303,29,7.0,31.0,-3.0,8.0,0,47.06896551724138,864.299827241379,5.655172413793103,17.0
20020304,29,11.0,43.0,0.0,9.0,0,41.37931034482759,862.2913568965516,6.793103448275862,17.0
20020305,29,19.0,50.0,6.0,15.0,0,40.6551724137931,856.4294182758617,4.827586206896552,17.0
20020306,29,23.0,58.0,6.0,14.0,0,31.0,851.116274827586,6.827586206896552,17.0
20020307,31,40.0,54.0,10.0,32.0,0,40.74193548387097,842.8503290322583,10.096774193548388,29.548387096774192
20020308,53,21.0,46.0,4.0,32.0,1,78.0,850.8589143396225,13.283018867924529,26.037735849056602
20020309,29,16.0,43.0,4.0,23.0,0,54.03448275862069,865.1756141379306,7.586206896551724,20.862068965517242
20020310,28,22.0,50.0,17.0,27.0,0,57.42857142857143,854.8454742857141,4.178571428571429,25.0
